bcr_patient_uuid	bcr_sample_barcode	bcr_analyte_barcode	bcr_analyte_uuid	a260_a280_ratio	amount	analyte_type	analyte_type_id	concentration	gel_image_file	is_derived_from_ffpe	normal_tumor_genotype_match	pcr_amplification_successful	ratio_28s_18s	rinvalue	spectrophotometer_method	subportion_sequence	well_number
933dbfbd-4697-403e-bd73-c17cb300c94b	TCGA-10-0927-01A	TCGA-10-0927-01A-02G	13f423ca-412a-44c2-840b-b000319f38c0	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.08	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
933dbfbd-4697-403e-bd73-c17cb300c94b	TCGA-10-0927-01A	TCGA-10-0927-01A-02R	3b04e4c3-d35f-40e4-bb5f-b854662c1604	1.80	51.30	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.20	8.30	UV Spec	[Not Available]	[Not Available]
933dbfbd-4697-403e-bd73-c17cb300c94b	TCGA-10-0927-01A	TCGA-10-0927-01A-02T	ac3564ad-8d11-4c50-abce-559e71ed12b3	[Not Available]	15.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
933dbfbd-4697-403e-bd73-c17cb300c94b	TCGA-10-0927-01A	TCGA-10-0927-01A-02W	c4ac11d2-3527-46e5-a04e-69ed35bc10e3	[Not Available]	236.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
933dbfbd-4697-403e-bd73-c17cb300c94b	TCGA-10-0927-11A	TCGA-10-0927-11A-01D	0fca70ac-2696-4f6a-9171-830c80f1cb33	1.80	0.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
933dbfbd-4697-403e-bd73-c17cb300c94b	TCGA-10-0927-11A	TCGA-10-0927-11A-01G	29d81f34-3e91-472a-8714-a91ba95209f1	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.09	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
933dbfbd-4697-403e-bd73-c17cb300c94b	TCGA-10-0927-11A	TCGA-10-0927-11A-01W	59b54426-6192-437d-b88e-dfb005ca4273	[Not Available]	276.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
29d26e7e-f4ae-4476-9a3f-27d5ec2ccb8a	TCGA-10-0928-01A	TCGA-10-0928-01A-02D	8c8eee23-40cf-47f6-9047-9acbe207c9c1	1.80	0.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
29d26e7e-f4ae-4476-9a3f-27d5ec2ccb8a	TCGA-10-0928-01A	TCGA-10-0928-01A-02G	68663f27-a161-4f92-943a-6489b7c44c30	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.09	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
29d26e7e-f4ae-4476-9a3f-27d5ec2ccb8a	TCGA-10-0928-01A	TCGA-10-0928-01A-02R	42019bf7-9187-4493-be2d-0d8733365c60	1.80	246.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.20	8.80	UV Spec	[Not Available]	[Not Available]
29d26e7e-f4ae-4476-9a3f-27d5ec2ccb8a	TCGA-10-0928-01A	TCGA-10-0928-01A-02T	fad3dc4a-3d63-4709-8dc6-d2053a711d5e	[Not Available]	39.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
29d26e7e-f4ae-4476-9a3f-27d5ec2ccb8a	TCGA-10-0928-01A	TCGA-10-0928-01A-02W	02396e61-f40e-4e95-8f68-1fbec8cfeb3d	[Not Available]	438.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
29d26e7e-f4ae-4476-9a3f-27d5ec2ccb8a	TCGA-10-0928-11A	TCGA-10-0928-11A-01D	559dd692-cabb-4922-8226-6c16a284287a	1.90	0.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
29d26e7e-f4ae-4476-9a3f-27d5ec2ccb8a	TCGA-10-0928-11A	TCGA-10-0928-11A-01G	f169579b-8682-4ed4-94d5-5abc2511f8c6	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.12	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
29d26e7e-f4ae-4476-9a3f-27d5ec2ccb8a	TCGA-10-0928-11A	TCGA-10-0928-11A-01W	b34b7cbd-e0dc-4988-848d-c8d7a8f352c1	[Not Available]	348.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
99f1ae02-86ec-4d93-8cd4-650bf6f02c10	TCGA-10-0930-01A	TCGA-10-0930-01A-01T	cfc7c536-c032-4222-9bad-c04963833ecb	[Not Available]	18.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
99f1ae02-86ec-4d93-8cd4-650bf6f02c10	TCGA-10-0930-01A	TCGA-10-0930-01A-02D	e9a6f84f-5a08-44b1-a394-aeeac42b7599	1.80	0.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
99f1ae02-86ec-4d93-8cd4-650bf6f02c10	TCGA-10-0930-01A	TCGA-10-0930-01A-02G	72893607-8869-4117-97ea-721c37f4071c	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.09	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
99f1ae02-86ec-4d93-8cd4-650bf6f02c10	TCGA-10-0930-01A	TCGA-10-0930-01A-02R	fcb8212f-1f34-4070-9b16-a9716d71aea5	1.80	158.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	0.90	7.90	UV Spec	[Not Available]	[Not Available]
99f1ae02-86ec-4d93-8cd4-650bf6f02c10	TCGA-10-0930-01A	TCGA-10-0930-01A-02W	45fe516d-a1d0-49d4-894a-d471b3203100	[Not Available]	234.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
99f1ae02-86ec-4d93-8cd4-650bf6f02c10	TCGA-10-0930-11A	TCGA-10-0930-11A-01D	7fcffe45-1743-45a3-ba99-f7f245a5807e	1.80	0.00	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
99f1ae02-86ec-4d93-8cd4-650bf6f02c10	TCGA-10-0930-11A	TCGA-10-0930-11A-01G	e7d73469-52ad-4389-8f5a-cb8488d9f88c	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
99f1ae02-86ec-4d93-8cd4-650bf6f02c10	TCGA-10-0930-11A	TCGA-10-0930-11A-01W	1bf77f51-883b-40fd-9001-d2438671ea6f	[Not Available]	279.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e07a61e2-bcd2-4a96-80df-97e04aafbd32	TCGA-10-0931-01A	TCGA-10-0931-01A-01D	ba2cbfe4-f4b1-4e13-8285-09f16e81f9c9	1.90	9.04	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e07a61e2-bcd2-4a96-80df-97e04aafbd32	TCGA-10-0931-01A	TCGA-10-0931-01A-01G	0ac45e4e-6960-43a0-9e83-f99ea7cb0655	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e07a61e2-bcd2-4a96-80df-97e04aafbd32	TCGA-10-0931-01A	TCGA-10-0931-01A-01R	543f46ee-d47b-481f-b8df-a617bcf2bf85	1.80	128.00	RNA	R	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.00	7.70	UV Spec	[Not Available]	[Not Available]
e07a61e2-bcd2-4a96-80df-97e04aafbd32	TCGA-10-0931-01A	TCGA-10-0931-01A-01T	d07536ad-40ef-4a47-b88d-4e92322d7d14	[Not Available]	43.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e07a61e2-bcd2-4a96-80df-97e04aafbd32	TCGA-10-0931-01A	TCGA-10-0931-01A-01W	13d2efdd-5fef-40bf-82f9-325cbbffb766	[Not Available]	417.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e07a61e2-bcd2-4a96-80df-97e04aafbd32	TCGA-10-0931-11A	TCGA-10-0931-11A-01D	bcf254ea-d920-4940-b4f1-1d4a03697fdd	1.90	38.34	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e07a61e2-bcd2-4a96-80df-97e04aafbd32	TCGA-10-0931-11A	TCGA-10-0931-11A-01G	4518ded6-e5fe-42c8-9d45-e5ccba557251	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e07a61e2-bcd2-4a96-80df-97e04aafbd32	TCGA-10-0931-11A	TCGA-10-0931-11A-01W	a0bc8208-6526-4fa5-99c9-6dd5d7df157d	[Not Available]	315.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9446e349-71e6-455a-aa8f-53ec96597146	TCGA-10-0933-01A	TCGA-10-0933-01A-01D	d2f785fc-c091-48e4-a137-40b6f284fb55	1.90	30.04	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9446e349-71e6-455a-aa8f-53ec96597146	TCGA-10-0933-01A	TCGA-10-0933-01A-01G	7ad895b6-bc30-40b8-9690-735b3429badd	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9446e349-71e6-455a-aa8f-53ec96597146	TCGA-10-0933-01A	TCGA-10-0933-01A-01R	d5f967ae-d7f5-4b62-8e28-1e698ebe2f67	1.80	85.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.20	6.30	UV Spec	[Not Available]	[Not Available]
9446e349-71e6-455a-aa8f-53ec96597146	TCGA-10-0933-01A	TCGA-10-0933-01A-01T	39c8d597-a843-445a-9ba8-9a232c21b1ca	[Not Available]	31.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9446e349-71e6-455a-aa8f-53ec96597146	TCGA-10-0933-01A	TCGA-10-0933-01A-01W	fe7c227d-9ce2-4d34-be19-242d6eb80a22	[Not Available]	461.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9446e349-71e6-455a-aa8f-53ec96597146	TCGA-10-0933-11A	TCGA-10-0933-11A-01D	6dd64be4-453a-4b35-909d-01cd11c5e5ee	1.80	8.34	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9446e349-71e6-455a-aa8f-53ec96597146	TCGA-10-0933-11A	TCGA-10-0933-11A-01G	c728296f-0d8d-4edb-aeae-3e4c70b8dfff	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9446e349-71e6-455a-aa8f-53ec96597146	TCGA-10-0933-11A	TCGA-10-0933-11A-01W	c4185a2b-c0c4-44b9-9f91-e5d087558ae3	[Not Available]	417.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
65ddccd2-70a7-48b3-88e1-9d6fd1dcd11b	TCGA-10-0934-01A	TCGA-10-0934-01A-01T	828b4608-591c-4bd1-9d86-8ae1d82d6438	[Not Available]	71.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
65ddccd2-70a7-48b3-88e1-9d6fd1dcd11b	TCGA-10-0934-01A	TCGA-10-0934-01A-02D	f3ed0076-d0f9-478a-9e05-8d49a6c9fbd8	1.80	91.67	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
65ddccd2-70a7-48b3-88e1-9d6fd1dcd11b	TCGA-10-0934-01A	TCGA-10-0934-01A-02G	871fc098-f96d-4e06-81e7-4e8fd88f5904	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.08	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
65ddccd2-70a7-48b3-88e1-9d6fd1dcd11b	TCGA-10-0934-01A	TCGA-10-0934-01A-02R	71ed7cd2-fda6-4445-866e-d208e599780e	1.80	331.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.80	9.20	UV Spec	[Not Available]	[Not Available]
65ddccd2-70a7-48b3-88e1-9d6fd1dcd11b	TCGA-10-0934-01A	TCGA-10-0934-01A-02W	c544515b-7e1c-4965-93ad-ca5ddd5596ec	[Not Available]	309.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
65ddccd2-70a7-48b3-88e1-9d6fd1dcd11b	TCGA-10-0934-11A	TCGA-10-0934-11A-01D	5a3433d9-10b6-46eb-9c72-0fc67c4e3903	1.80	344.64	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
65ddccd2-70a7-48b3-88e1-9d6fd1dcd11b	TCGA-10-0934-11A	TCGA-10-0934-11A-01G	68accc1f-85f2-4346-905b-df1ecea46ab1	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.09	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
65ddccd2-70a7-48b3-88e1-9d6fd1dcd11b	TCGA-10-0934-11A	TCGA-10-0934-11A-01W	c020a194-9f38-4def-bae5-6f4934b6521d	[Not Available]	264.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
48f8afa8-7712-4428-b0d0-d8c3340504b6	TCGA-10-0935-01A	TCGA-10-0935-01A-01T	1f3b21d2-fe83-4e6b-a8f0-b1a7b971a84b	[Not Available]	26.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
48f8afa8-7712-4428-b0d0-d8c3340504b6	TCGA-10-0935-01A	TCGA-10-0935-01A-02R	7340c139-5fdc-4cc8-bbbe-80fa69446905	1.80	15.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.20	7.10	UV Spec	[Not Available]	[Not Available]
48f8afa8-7712-4428-b0d0-d8c3340504b6	TCGA-10-0935-01A	TCGA-10-0935-01A-03D	fa0ccafe-9c08-4381-a43c-ecf6323d8854	1.90	0.00	DNA	D	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
48f8afa8-7712-4428-b0d0-d8c3340504b6	TCGA-10-0935-01A	TCGA-10-0935-01A-03G	4ab480c3-cdb4-46ec-ab5a-a9ff207a3e96	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.09	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
48f8afa8-7712-4428-b0d0-d8c3340504b6	TCGA-10-0935-01A	TCGA-10-0935-01A-03W	e3dd3b26-68ba-4c7e-9a86-b53e407a27a2	[Not Available]	349.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
48f8afa8-7712-4428-b0d0-d8c3340504b6	TCGA-10-0935-11A	TCGA-10-0935-11A-01D	90e0c0b9-c96f-4d97-b509-4f9c4f4e4d70	1.80	0.00	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
48f8afa8-7712-4428-b0d0-d8c3340504b6	TCGA-10-0935-11A	TCGA-10-0935-11A-01G	a4ae54fc-bb68-454d-8ef5-d6dc0036c2f2	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.09	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
48f8afa8-7712-4428-b0d0-d8c3340504b6	TCGA-10-0935-11A	TCGA-10-0935-11A-01W	7ff1c7b3-64f9-433c-a9a2-8b5cb4e8699e	[Not Available]	426.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7016714b-6af8-45dd-8341-1493927e5515	TCGA-10-0936-01A	TCGA-10-0936-01A-01D	680aabfc-7cdb-406f-bc78-e41920ab323d	1.90	0.00	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7016714b-6af8-45dd-8341-1493927e5515	TCGA-10-0936-01A	TCGA-10-0936-01A-01G	ce45ee47-0965-4f8d-b322-aca362dd85f4	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.08	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7016714b-6af8-45dd-8341-1493927e5515	TCGA-10-0936-01A	TCGA-10-0936-01A-01R	805911c8-210d-436a-81ed-e8f8ffacc048	1.70	15.00	RNA	R	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	2.60	8.60	UV Spec	[Not Available]	[Not Available]
7016714b-6af8-45dd-8341-1493927e5515	TCGA-10-0936-01A	TCGA-10-0936-01A-01T	e8a46637-4385-405b-9549-21e5db52b392	[Not Available]	58.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7016714b-6af8-45dd-8341-1493927e5515	TCGA-10-0936-01A	TCGA-10-0936-01A-01W	220eb221-ad42-4165-85e1-0c3202208950	[Not Available]	369.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7016714b-6af8-45dd-8341-1493927e5515	TCGA-10-0936-11A	TCGA-10-0936-11A-01D	b947e106-6ae0-4067-930c-b466aab9b7b1	1.80	0.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7016714b-6af8-45dd-8341-1493927e5515	TCGA-10-0936-11A	TCGA-10-0936-11A-01G	94ac90d1-d440-49e3-af22-518581b40775	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.08	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7016714b-6af8-45dd-8341-1493927e5515	TCGA-10-0936-11A	TCGA-10-0936-11A-01W	407daf98-8bc0-445d-84de-fb2bf4bb7a7b	[Not Available]	454.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
a5030259-cf9c-4a58-8710-b9da8ee59320	TCGA-10-0937-01A	TCGA-10-0937-01A-02D	6ce42e92-8b8a-47ed-be00-d3d45798cf18	1.90	272.34	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
a5030259-cf9c-4a58-8710-b9da8ee59320	TCGA-10-0937-01A	TCGA-10-0937-01A-02G	c576527f-34bd-467d-a705-e72c5ce7a317	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
